table_name,table_schema,column_name,data_type
SALES_ORDERS,ADVENTUREWORKS,PRODUCT_KEY,NUMBER
SALES_ORDERS,ADVENTUREWORKS,SALES_ORDER_NUMBER,TEXT
SALES_ORDERS,ADVENTUREWORKS,SHIP_DATE_KEY,NUMBER
SALES_ORDERS,ADVENTUREWORKS,DUE_DATE_KEY,NUMBER
SALES_ORDERS,ADVENTUREWORKS,UNIT_PRICE,TEXT
SALES_ORDERS,ADVENTUREWORKS,ORDER_DATE_KEY,NUMBER
SALES_ORDERS,ADVENTUREWORKS,CURRENCY_KEY,NUMBER
SALES_ORDERS,ADVENTUREWORKS,SALES_TERRITORY_KEY,NUMBER
SALES_ORDERS,ADVENTUREWORKS,CUSTOMER_PO_NUMBER,TEXT
SALES_ORDERS,ADVENTUREWORKS,UNIT_PRICE_DISCOUNT_PCT,NUMBER
SALES_ORDERS,ADVENTUREWORKS,SALES_AMOUNT,TEXT
SALES_ORDERS,ADVENTUREWORKS,CARRIER_TRACKING_NUMBER,TEXT
SALES_ORDERS,ADVENTUREWORKS,ORDER_DATE,TIMESTAMP_NTZ
SALES_ORDERS,ADVENTUREWORKS,REVISION_NUMBER,NUMBER
SALES_ORDERS,ADVENTUREWORKS,PROMOTION_KEY,NUMBER
SALES_ORDERS,ADVENTUREWORKS,TOTAL_PRODUCT_COST,TEXT
SALES_ORDERS,ADVENTUREWORKS,CUSTOMER_KEY,NUMBER
SALES_ORDERS,ADVENTUREWORKS,TAX_AMT,TEXT
SALES_ORDERS,ADVENTUREWORKS,EXTENDED_AMOUNT,TEXT
SALES_ORDERS,ADVENTUREWORKS,ORDER_QUANTITY,NUMBER
SALES_ORDERS,ADVENTUREWORKS,SALES_ORDER_LINE_NUMBER,NUMBER
SALES_ORDERS,ADVENTUREWORKS,FREIGHT,TEXT
SALES_ORDERS,ADVENTUREWORKS,SHIP_DATE,TIMESTAMP_NTZ
SALES_ORDERS,ADVENTUREWORKS,DUE_DATE,TIMESTAMP_NTZ
SALES_ORDERS,ADVENTUREWORKS,DISCOUNT_AMOUNT,NUMBER
SALES_ORDERS,ADVENTUREWORKS,PRODUCT_STANDARD_COST,TEXT
