table_name,table_schema,column_name,data_type
yellow_trip,nyc_taxi,vendor_id,STRING
yellow_trip,nyc_taxi,pickup_datetime,TIMESTAMP
yellow_trip,nyc_taxi,dropoff_datetime,TIMESTAMP
yellow_trip,nyc_taxi,passenger_count,INT
yellow_trip,nyc_taxi,trip_distance,DOUBLE
yellow_trip,nyc_taxi,pickup_longitude,DOUBLE
yellow_trip,nyc_taxi,pickup_latitude,DOUBLE
yellow_trip,nyc_taxi,rate_code_id,INT
yellow_trip,nyc_taxi,store_and_fwd_flag,STRING
yellow_trip,nyc_taxi,dropoff_longitude,DOUBLE
yellow_trip,nyc_taxi,dropoff_latitude,DOUBLE
yellow_trip,nyc_taxi,payment_type,STRING
yellow_trip,nyc_taxi,fare_amount,DOUBLE
yellow_trip,nyc_taxi,extra,DOUBLE
yellow_trip,nyc_taxi,mta_tax,DOUBLE
yellow_trip,nyc_taxi,tip_amount,DOUBLE
yellow_trip,nyc_taxi,tolls_amount,DOUBLE
yellow_trip,nyc_taxi,total_amount,DOUBLE
